target_id,comparator_id,outcome_id,analysis_id,rr,ci_95_lb,ci_95_ub,p,i_2,log_rr,se_log_rr,target_subjects,comparator_subjects,target_days,comparator_days,target_outcomes,comparator_outcomes,calibrated_p,calibrated_rr,calibrated_ci_95_lb,calibrated_ci_95_ub,calibrated_log_rr,calibrated_se_log_rr,database_id
239,237,19003296,1,0.75,0.246932817382913,2.15643535815705,0.602805233613031,NA,-0.287682072451781,0.552840652214137,517,517,823343,865601,8,12,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,19004969,1,NA,NA,NA,NA,NA,NA,NA,531,531,877713,925881,0,0,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,19010564,1,1,0.120041405708988,8.33045892868214,1,NA,0,1.08161097084541,527,527,869093,916300,-5,-5,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,19020092,1,NA,NA,NA,NA,NA,NA,NA,531,531,877713,925881,0,0,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,19021959,1,NA,NA,NA,NA,NA,NA,NA,531,531,877713,925881,0,0,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,19028286,1,NA,NA,NA,NA,NA,NA,NA,531,531,877713,925881,0,0,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,19029327,1,NA,NA,NA,NA,NA,NA,NA,531,531,877713,925881,0,0,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,19033280,1,NA,NA,NA,NA,NA,NA,NA,531,531,877713,925881,0,0,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,19035953,1,NA,NA,NA,NA,NA,NA,NA,531,531,877713,925881,0,0,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,19051865,1,NA,NA,NA,NA,NA,NA,NA,531,531,877713,925881,0,0,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,19068894,1,NA,NA,NA,NA,NA,NA,NA,531,531,877713,925881,0,0,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,19070680,1,NA,NA,NA,NA,NA,NA,NA,531,531,877713,925881,0,0,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,19077457,1,NA,NA,NA,NA,NA,NA,NA,531,531,877713,925881,0,0,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,19110712,1,NA,NA,NA,NA,NA,NA,NA,531,531,877713,925881,0,0,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,35603563,1,NA,NA,NA,NA,NA,NA,NA,531,531,877713,925881,0,0,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,35604657,1,NA,NA,NA,NA,NA,NA,NA,531,531,877713,925881,0,0,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,35604680,1,NA,NA,NA,NA,NA,NA,NA,531,531,877713,925881,0,0,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,35606465,1,NA,NA,NA,NA,NA,NA,NA,531,531,877713,925881,0,0,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,35606631,1,NA,NA,NA,NA,NA,NA,NA,531,531,877713,925881,0,0,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,40161488,1,NA,NA,NA,NA,NA,NA,NA,531,531,877713,925881,0,0,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,40168938,1,NA,NA,NA,NA,NA,NA,NA,531,531,877713,925881,0,0,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,40242044,1,NA,NA,NA,NA,NA,NA,NA,531,531,877713,925881,0,0,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,42628962,1,NA,NA,NA,NA,NA,NA,NA,531,531,877713,925881,0,0,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,42709323,1,NA,NA,NA,NA,NA,NA,NA,531,531,877713,925881,0,0,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,42800778,1,NA,NA,NA,NA,NA,NA,NA,531,531,877713,925881,0,0,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,42899259,1,NA,NA,NA,NA,NA,NA,NA,531,531,877713,925881,0,0,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,43012263,1,NA,NA,NA,NA,NA,NA,NA,531,531,877713,925881,0,0,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,43013171,1,NA,NA,NA,NA,NA,NA,NA,531,531,877713,925881,0,0,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,43532423,1,NA,NA,NA,NA,NA,NA,NA,531,531,877713,925881,0,0,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,45774966,1,NA,NA,NA,NA,NA,NA,NA,531,531,877713,925881,0,0,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,45775686,1,NA,NA,NA,NA,NA,NA,NA,531,531,877713,925881,0,0,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,45775689,1,NA,NA,NA,NA,NA,NA,NA,531,531,877713,925881,0,0,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,45892906,1,NA,NA,NA,NA,NA,NA,NA,531,531,877713,925881,0,0,NA,NA,NA,NA,NA,NA,TMU_CRD
