"target_id","comparator_id","outcome_id","analysis_id","log_hazard_ratio","log_likelihood"
239,237,63,1,-1.15129254649702,-9.09864765321328
239,237,63,1,-1.0233711524418,-7.51136828992163
239,237,63,1,-0.895449758386573,-6.0577206759368
239,237,63,1,-0.767528364331348,-4.74553531679047
239,237,63,1,-0.639606970276123,-3.58209715203681
239,237,63,1,-0.511685576220899,-2.57396367242351
239,237,63,1,-0.383764182165674,-1.7267884272462
239,237,63,1,-0.255842788110449,-1.04515915775978
239,237,63,1,-0.144118281892159,-0.587950428151615
239,237,63,1,-0.0323937756738691,-0.261061619324813
239,237,63,1,0.079330730544421,-0.0651352300302968
239,237,63,1,0.191055236762711,0
239,237,63,1,0.25584278811045,-0.0217880053179975
239,237,63,1,0.383764182165675,-0.191731698583538
239,237,63,1,0.511685576220899,-0.527221367539894
239,237,63,1,0.639606970276124,-1.02366927093232
239,237,63,1,0.767528364331349,-1.6754218594651
239,237,63,1,0.895449758386574,-2.47592164239068
239,237,63,1,1.0233711524418,-3.41788368015452
239,237,63,1,1.15129254649702,-4.49347746722528
239,237,63,1,1.27921394055225,-5.69450576208563
239,237,63,1,1.40713533460747,-7.01257326038289
239,237,63,1,1.5350567286627,-8.43923966824218
239,237,63,1,1.66297812271792,-9.96615349755899
239,237,63,1,1.79089951677315,-11.5851645908032
239,237,63,1,1.91882091082837,-13.2884148578702
239,237,63,1,2.0467423048836,-15.068407895413
239,237,63,1,2.17466369893882,-16.9180590329374
239,237,63,1,2.30258509299405,-18.8307279212999
239,237,274,1,-2.30258509299405,-4.60517018598809
239,237,274,1,-1.79089951677315,-3.69972582486536
239,237,274,1,-1.27921394055225,-2.85880072573211
239,237,274,1,-0.767528364331348,-2.10699824212729
239,237,274,1,-0.255842788110449,-1.46783623702121
239,237,274,1,0.25584278811045,-0.956150660800308
239,237,274,1,0.767528364331349,-0.571941513464594
239,237,274,1,1.27921394055225,-0.300372844627614
239,237,274,1,1.79089951677315,-0.117926791319064
239,237,274,1,2.30258509299405,0
239,237,277,1,-2.30258509299405,-1.1069110914828
239,237,277,1,-1.79089951677315,-0.713152306580969
239,237,277,1,-1.27921394055225,-0.383912783668621
239,237,277,1,-0.767528364331348,-0.143795876284702
239,237,277,1,-0.255842788110449,-0.0163194473995163
239,237,277,1,0,0
239,237,277,1,0.25584278811045,-0.0163194473995165
239,237,277,1,0.767528364331349,-0.143795876284702
239,237,277,1,1.27921394055225,-0.383912783668621
239,237,277,1,1.79089951677315,-0.71315230658097
239,237,277,1,2.30258509299405,-1.1069110914828
239,237,283,1,-2.30258509299405,-2.30258509299405
239,237,283,1,-1.79089951677315,-1.84986291243268
239,237,283,1,-1.27921394055225,-1.42940036286605
239,237,283,1,-0.767528364331348,-1.05349912106365
239,237,283,1,-0.255842788110449,-0.733918118510603
239,237,283,1,0.25584278811045,-0.478075330400154
239,237,283,1,0.767528364331349,-0.285970756732297
239,237,283,1,1.27921394055225,-0.150186422313807
239,237,283,1,1.79089951677315,-0.0589633956595319
239,237,283,1,2.30258509299405,0
239,237,290,1,-2.30258509299405,-12.0577435288725
239,237,290,1,-2.0467423048836,-10.1475487745254
239,237,290,1,-1.79089951677315,-8.33702427777733
239,237,290,1,-1.5350567286627,-6.64697063176099
239,237,290,1,-1.27921394055225,-5.10019949160335
239,237,290,1,-1.0233711524418,-3.72061114581195
239,237,290,1,-0.895449758386573,-3.10094161691691
239,237,290,1,-0.767528364331348,-2.53179432189263
239,237,290,1,-0.639606970276123,-2.01577102486577
239,237,290,1,-0.511685576220899,-1.55521368681761
239,237,290,1,-0.383764182165674,-1.15214143249666
239,237,290,1,-0.255842788110449,-0.808192740922385
239,237,290,1,-0.127921394055225,-0.524576177816774
239,237,290,1,2.22044604925031e-16,-0.302032703260334
239,237,290,1,0.127921394055225,-0.140811995651106
239,237,290,1,0.25584278811045,-0.0406643765910371
239,237,290,1,0.405465108108164,0
239,237,290,1,0.586496736219756,-0.0582098941055467
239,237,290,1,0.767528364331349,-0.229209228898576
239,237,290,1,1.0233711524418,-0.650497688486571
239,237,290,1,1.27921394055225,-1.26255766994663
239,237,290,1,1.5350567286627,-2.04180044577289
239,237,290,1,1.79089951677315,-2.96432572745789
239,237,290,1,2.0467423048836,-4.00732185987464
239,237,290,1,2.30258509299405,-5.1499882498903
239,237,291,1,-2.30258509299405,-1.1069110914828
239,237,291,1,-1.79089951677315,-0.713152306580969
239,237,291,1,-1.27921394055225,-0.383912783668621
239,237,291,1,-0.767528364331348,-0.143795876284702
239,237,291,1,-0.255842788110449,-0.0163194473995163
239,237,291,1,0,0
239,237,291,1,0.25584278811045,-0.0163194473995165
239,237,291,1,0.767528364331349,-0.143795876284702
239,237,291,1,1.27921394055225,-0.383912783668621
239,237,291,1,1.79089951677315,-0.71315230658097
239,237,291,1,2.30258509299405,-1.1069110914828
239,237,292,1,-2.30258509299405,-11.6564334025175
239,237,292,1,-2.0467423048836,-9.29262255475684
239,237,292,1,-1.79089951677315,-7.10821817067414
239,237,292,1,-1.66297812271792,-6.09483705231479
239,237,292,1,-1.5350567286627,-5.14066131790864
239,237,292,1,-1.40713533460747,-4.25093035443958
239,237,292,1,-1.27921394055225,-3.43101297568878
239,237,292,1,-1.15129254649702,-2.68633508486183
239,237,292,1,-1.0233711524418,-2.02229366332817
239,237,292,1,-0.895449758386573,-1.44415836634903
239,237,292,1,-0.767528364331348,-0.956963090337275
239,237,292,1,-0.639606970276123,-0.565391010720873
